Tiempo,Dilatacion,Temperatura,Densidad
61,12,103,192
151,43,169,11
42,50,177,106
130,93,116,153
103,181,190,0
184,115,7,174
77,150,35,198
23,11,82,108
182,114,144,128
49,31,99,168
2,127,85,107
107,25,87,196
144,2,60,59
30,150,57,141
163,80,140,88
163,110,154,123
153,188,130,23
48,194,23,52
16,147,41,180
182,50,95,163
148,107,109,83
174,194,95,60
137,81,18,109
49,99,2,42
168,128,3,27
156,122,153,108
17,84,28,132
93,8,46,149
194,2,137,147
103,190,151,172
185,141,21,12
175,69,40,150
182,117,94,22
176,17,41,113
21,125,144,95
120,150,103,105
48,29,103,176
57,166,124,173
21,11,192,96
21,158,85,88
12,154,113,111
151,196,190,36
194,186,40,185
20,25,122,84
188,153,155,73
9,42,3,101
176,86,138,195
88,105,106,1
139,2,69,78
110,157,30,195
154,153,192,189
65,32,33,72
148,120,174,111
60,190,182,10
102,158,117,85
190,69,111,71
85,151,124,5
133,20,153,22
51,150,28,164
157,191,27,59
24,148,169,133
91,85,36,82
11,45,103,163
26,163,187,37
72,34,90,70
128,178,91,8
98,143,22,180
156,106,65,108
151,17,184,79
147,77,156,193
50,192,93,78
61,193,185,145
38,107,26,187
156,190,189,68
184,98,73,103
163,157,195,148
13,6,113,51
121,88,100,168
3,45,21,98
177,33,2,121
54,60,80,13
98,150,87,6
83,195,129,159
151,113,191,110
112,114,188,5
91,172,71,119
61,72,123,142
112,169,166,81
40,39,35,8
193,21,112,192
122,129,182,64
18,31,85,128
15,77,95,67
171,144,18,138
26,90,51,89
97,40,39,2
174,55,158,105
57,21,141,2
161,52,26,135
15,146,14,8
15,186,86,82
30,2,53,71
40,123,38,20
21,41,158,28
106,186,117,62
172,40,69,117
20,40,132,149
59,133,40,69
78,6,64,51
57,175,31,84
101,121,170,125
159,22,125,119
72,190,84,159
156,192,75,50
54,20,190,179
196,173,154,112
89,68,88,162
84,21,161,188
166,47,162,188
109,124,59,130
106,188,2,134
199,140,166,180
154,77,195,109
103,36,149,53
127,119,176,185
21,83,146,122
119,185,136,79
28,78,123,9
85,73,105,96
117,22,78,170
14,47,160,181
111,22,103,33
171,26,47,92
71,148,85,58
190,140,36,126
1,191,36,28
129,148,194,177
35,58,191,119
190,134,101,19
144,85,173,59
28,161,35,117
189,45,160,163
121,182,26,62
56,103,148,11
187,105,198,131
190,14,166,168
4,195,145,191
63,187,12,102
129,17,19,95
163,121,151,194
22,113,95,127
98,175,173,74
120,60,25,74
120,29,27,195
34,85,28,108
162,97,47,52
2,11,54,177
92,113,12,130
78,28,36,95
193,80,35,132
100,126,37,188
19,49,133,187
14,79,90,28
155,1,161,50
116,104,162,54
175,10,37,186
99,71,66,129
60,120,35,109
186,12,167,174
144,149,143,132
151,68,100,40
137,12,65,115
188,74,94,52
104,199,86,166
113,141,129,115
113,19,118,172
56,128,84,183
44,113,149,86
35,137,70,71
128,82,65,162
92,109,172,141
65,56,50,48
72,199,87,63
74,111,104,128
148,28,172,33
184,191,68,166
127,58,84,107
80,31,37,46
87,106,32,63
120,76,35,46
102,99,5,30
3,36,106,2
53,192,156,86
176,174,83,166
151,122,173,159
161,45,169,127
16,36,134,14
117,122,149,126
14,127,30,136
55,165,58,69
87,16,114,27
187,148,45,144
134,35,64,102
185,197,105,177
158,79,120,94
90,77,104,175
152,85,82,187
167,127,141,45
109,72,197,149
34,68,144,58
11,192,87,67
165,91,167,29
169,25,136,132
198,173,110,19
55,170,192,52
64,144,185,2
113,46,40,74
129,97,38,96
26,123,62,130
83,85,180,57
84,142,132,12
72,115,54,19
190,105,129,160
187,198,2,168
145,144,14,79
46,50,59,152
19,90,194,62
52,74,101,65
15,171,51,44
97,5,15,161
187,70,46,41
127,8,129,178
11,49,6,24
67,21,27,44
28,36,21,78
109,103,27,89
32,159,67,92
35,13,197,95
146,98,103,118
199,2,76,93
93,7,14,183
64,59,120,71
144,196,70,82
109,16,53,54
57,117,120,68
54,129,32,178
141,177,117,166
186,72,189,15
40,54,171,195
61,15,49,166
55,38,155,148
79,198,190,144
163,56,129,38
91,99,192,22
4,150,137,51
60,130,147,37
89,196,22,31
74,16,52,58
47,183,17,122
48,136,134,180
19,186,149,16
114,69,157,25
1,195,138,159
80,51,109,182
50,184,79,51
98,75,188,82
33,43,17,143
146,72,53,10
86,93,5,95
20,172,107,171
80,52,3,97
59,60,46,8
195,59,101,111
184,197,151,102
179,31,67,66
70,107,158,38
0,151,73,159
3,88,103,121
37,134,51,69
78,137,184,65
64,43,16,86
30,82,144,137
98,59,104,8
152,165,48,172
103,175,183,50
116,57,145,94
35,107,57,50
37,194,22,101
83,142,77,72
179,142,10,102
93,70,132,56
55,18,106,193
108,73,94,22
93,125,152,52
184,114,99,5
3,60,118,119
177,7,112,12
143,45,66,138
2,139,159,63
157,52,153,72
43,103,96,70
146,2,126,118
104,129,140,36
86,76,24,125
51,108,149,175
52,186,63,147
165,163,53,22
128,138,98,70
117,30,144,27
9,52,182,90
113,156,146,33
178,134,156,117
35,121,15,165
164,89,70,54
141,128,10,46
140,194,102,35
75,153,76,12
38,169,45,27
72,168,151,190
22,26,62,57
60,89,130,173
18,174,185,70
193,152,52,23
28,132,71,137
180,65,198,97
56,24,16,97
169,43,62,20
97,77,157,10
26,77,114,11
160,179,45,81
174,18,107,30
2,195,117,155
25,7,150,104
171,160,172,104
168,152,86,145
184,50,157,74
83,195,124,168
113,49,96,68
42,131,91,65
176,118,185,84
37,166,21,169
2,83,89,189
172,107,197,139
184,134,29,99
108,148,126,103
63,24,8,68
153,155,186,184
25,157,124,15
160,50,85,167
134,102,85,160
18,75,127,106
161,127,113,47
19,72,92,70
17,152,160,91
23,31,181,86
170,48,176,105
119,39,93,53
147,7,190,5
155,156,74,150
53,143,137,69
195,10,107,136
176,27,193,66
33,167,113,66
32,161,7,108
120,71,20,14
177,20,41,116
62,187,69,127
22,129,19,101
177,196,180,187
177,87,69,53
39,36,41,123
56,168,74,172
176,85,15,45
55,194,182,112
76,151,163,69
178,90,48,147
17,131,48,97
84,157,106,82
116,65,136,92
21,63,32,130
178,110,11,3
104,0,166,26
144,1,164,23
29,139,131,13
153,196,105,172
7,197,180,50
33,63,153,17
113,66,123,88
92,106,80,131
187,156,75,129
67,45,10,89
29,110,117,78
19,195,97,0
18,102,12,139
160,29,199,110
177,13,97,163
95,92,165,101
45,33,174,156
75,108,45,157
111,14,106,190
137,48,99,81
55,93,172,140
146,101,78,137
166,91,77,85
48,163,85,83
6,84,166,62
56,79,27,151
155,10,141,100
120,87,69,45
194,13,187,91
74,77,103,140
24,165,171,74
32,60,43,114
91,158,37,137
196,177,82,77
51,176,100,76
0,99,120,163
80,72,155,107
58,9,95,7
29,11,161,27
134,124,4,18
61,145,71,143
76,56,27,104
113,199,186,75
112,189,93,0
174,64,109,187
96,109,172,127
32,6,33,90
20,113,81,130
14,119,197,92
177,81,22,190
171,58,60,1
47,159,25,160
194,111,11,68
3,14,188,5
168,104,114,107
159,29,17,15
62,16,66,141
157,125,67,1
116,163,58,73
59,46,173,5
28,58,101,160
147,38,128,46
147,76,65,21
80,137,6,154
99,175,186,29
18,13,179,26
117,2,59,130
146,180,17,99
197,139,143,43
88,46,55,112
131,1,109,194
69,179,144,164
112,27,41,99
83,8,125,61
157,64,161,30
181,164,196,79
132,66,77,109
4,19,171,131
83,58,136,160
63,110,8,59
28,108,150,133
160,148,15,110
121,81,2,85
154,15,163,71
73,163,124,65
69,159,43,152
11,58,32,197
100,122,144,38
173,26,2,177
133,55,112,130
17,101,70,174
75,172,149,27
46,28,165,152
165,48,197,0
54,110,156,62
103,113,81,86
5,199,16,143
186,79,49,29
57,19,126,50
62,145,3,107
71,197,107,66
105,190,111,192
37,77,93,149
74,194,110,46
199,120,161,169
106,151,155,152
192,25,18,115
186,174,142,123
172,3,186,36
33,177,41,139
153,15,89,125
93,144,13,170
157,26,8,11
99,144,190,113
72,180,82,186
125,10,8,192
163,127,57,41
39,35,10,74
25,157,15,77
161,9,180,37
143,20,38,62
42,40,147,66
90,147,3,186
109,17,60,78
137,34,1,36
150,28,81,70
134,118,137,68
136,182,127,86
6,127,70,153
124,42,13,133
46,32,70,198
19,93,30,105
53,38,174,154
144,10,161,96
96,44,91,162
86,3,45,24
26,68,172,111
14,0,38,12
163,90,111,192
184,132,122,5
97,125,25,133
48,177,144,178
97,14,40,198
79,6,114,56
139,82,25,107
179,91,196,149
49,82,107,191
167,28,85,22
59,34,76,122
183,128,53,139
179,139,112,117
119,136,61,14
30,54,90,148
40,185,120,53
40,173,46,115
104,23,32,177
14,70,119,5
76,47,128,50
14,179,142,23
80,139,126,15
95,129,65,143
19,179,120,28
103,130,168,23
117,110,178,120
165,23,49,126
66,98,143,90
62,25,89,37
157,197,127,107
138,61,83,103
189,66,41,76
188,175,19,135
80,199,145,117
41,105,2,167
48,61,97,133
151,3,99,11
92,31,89,133
52,152,111,182
70,176,93,12
116,168,23,185
87,103,114,150
23,62,196,138
133,121,75,72
10,168,178,77
57,31,79,108
104,45,82,118
92,176,12,11
70,101,94,42
54,114,144,36
36,82,194,10
138,8,122,154
117,102,77,154
185,116,53,65
174,73,136,7
76,105,8,136
118,48,45,98
136,5,98,75
138,60,113,94
67,1,175,197
100,40,97,87
61,43,132,111
22,92,62,165
14,54,93,67
122,119,191,14
95,16,135,17
120,55,177,199
11,46,197,2
96,64,85,80
67,31,182,61
98,28,152,162
1,112,16,157
40,159,98,81
108,61,114,31
7,47,189,99
13,180,103,165
120,10,195,102
116,9,127,175
29,189,24,9
167,93,178,48
129,51,118,97
89,54,100,29
124,118,101,16
45,173,68,184
164,158,87,191
183,46,194,42
16,65,101,175
47,64,92,103
112,198,75,110
155,15,190,76
4,161,87,94
159,96,135,140
164,96,193,74
75,84,76,77
91,186,115,59
148,50,1,126
33,83,155,190
111,0,97,128
126,188,105,157
34,166,150,102
138,24,16,2
173,21,88,65
21,186,196,193
155,12,189,130
159,157,37,28
33,189,190,143
25,34,87,95
87,142,145,3
6,130,37,115
33,183,68,83
61,109,168,18
146,188,154,133
108,130,124,105
52,176,98,183
114,175,0,125
107,156,159,164
148,166,151,141
125,26,70,156
120,32,13,76
26,77,181,158
120,34,167,101
55,67,32,86
104,168,174,152
169,61,117,4
67,76,107,75
141,181,102,171
47,40,96,117
163,67,32,34
169,111,94,173
198,179,163,158
59,140,152,125
60,59,193,24
189,157,137,19
80,48,21,78
31,125,43,177
63,191,79,146
153,178,187,139
37,184,27,100
167,8,186,126
85,154,59,176
73,14,70,58
57,81,85,143
110,176,120,190
120,11,3,46
194,109,0,69
129,78,62,174
92,155,25,132
33,150,20,92
189,153,147,156
121,130,159,129
8,62,73,6
175,110,108,115
106,83,61,194
188,155,122,179
68,10,116,135
185,83,74,174
191,97,31,29
158,114,4,65
17,75,131,118
52,56,82,121
35,122,106,32
141,91,96,192
83,90,93,35
39,50,118,141
56,166,75,24
9,110,193,192
188,1,7,147
131,196,3,75
113,23,126,184
59,37,141,174
112,185,116,13
43,137,135,84
32,173,92,39
123,162,169,146
70,46,180,115
64,32,162,104
94,120,138,68
183,140,108,58
17,142,42,164
60,185,69,31
136,91,55,61
187,4,52,186
2,172,152,11
161,172,150,164
19,92,34,10
114,3,61,170
122,98,88,175
197,108,72,100
65,43,199,34
39,15,91,143
195,110,4,113
35,124,52,175
15,76,146,88
28,76,107,157
45,121,104,172
59,185,34,194
55,28,153,197
13,97,78,114
23,118,36,81
14,87,131,7
148,85,165,134
42,168,23,162
111,85,105,128
20,157,97,101
143,12,160,108
51,149,151,85
88,100,197,60
30,68,136,198
174,72,171,20
52,69,132,15
46,31,100,10
44,94,100,34
37,46,55,100
184,154,98,162
136,191,15,51
73,181,26,63
117,36,156,199
20,43,180,57
9,198,40,91
149,130,12,158
80,106,119,156
53,163,169,14
187,113,8,108
2,187,45,64
39,158,175,67
156,55,198,109
133,14,111,57
98,126,46,186
144,13,37,113
167,78,186,72
29,166,50,133
146,128,96,160
149,12,5,105
40,30,21,197
53,79,0,47
152,136,148,94
109,48,133,91
150,152,43,52
11,34,174,163
130,190,157,158
105,182,81,141
94,171,4,173
138,129,147,189
192,4,70,23
184,178,2,171
51,141,81,147
135,75,125,30
180,92,73,48
140,91,162,36
170,106,122,154
79,93,104,171
158,84,67,166
179,139,194,81
72,18,8,55
95,132,158,136
122,88,11,193
139,142,178,183
190,92,144,175
132,76,4,36
154,28,109,114
10,172,64,80
178,169,162,33
49,139,11,37
142,69,136,160
120,176,42,11
87,139,16,137
119,86,51,112
19,83,121,73
84,92,158,169
20,27,124,94
6,118,114,77
120,179,160,95
126,9,51,161
132,152,108,197
155,129,123,132
94,196,75,74
105,124,84,101
121,163,122,96
81,50,30,76
199,127,180,14
128,195,102,87
167,139,96,40
161,130,39,121
67,7,141,27
174,118,135,91
175,5,123,105
89,38,36,182
30,192,172,154
120,45,13,50
192,154,110,194
28,56,159,139
163,56,175,131
180,33,17,73
55,79,135,185
111,191,195,53
136,103,67,168
29,20,26,142
169,34,136,73
62,144,1,145
142,132,150,108
11,119,99,197
18,24,72,46
129,47,91,79
54,196,14,81
129,64,170,93
41,20,73,15
193,171,80,3
21,4,16,131
62,12,159,137
17,54,118,47
113,93,135,115
46,47,190,33
80,3,92,157
193,18,116,67
29,43,9,146
40,20,113,73
106,189,177,116
87,104,71,138
90,197,3,122
147,97,116,32
131,45,49,100
114,8,27,178
195,113,157,121
76,159,87,176
4,64,187,173
175,146,83,29
36,172,112,149
48,194,99,177
178,158,15,173
169,176,130,136
13,77,59,109
126,137,118,193
92,58,54,53
132,24,41,147
194,55,86,80
71,172,177,94
69,110,144,81
126,46,165,186
112,52,103,50
84,90,96,63
60,142,83,196
167,99,191,67
107,5,44,105
161,189,47,19
23,68,82,9
129,5,149,163
91,155,114,17
79,47,182,48
3,183,74,81
65,88,182,121
12,59,18,91
157,130,133,45
15,122,151,117
60,168,126,26
4,111,87,194
180,126,25,38
60,25,152,103
2,110,81,19
56,66,9,143
31,162,54,26
118,17,75,100
85,149,15,134
165,60,94,112
59,172,9,86
100,157,96,196
42,95,177,124
128,150,10,197
75,181,33,146
11,117,23,70
178,152,120,140
60,15,125,152
144,3,40,142
191,110,175,119
118,192,113,4
17,160,113,157
41,173,55,16
100,95,87,89
96,165,28,43
60,6,108,109
80,25,42,180
174,72,64,166
132,110,13,14
155,28,51,100
71,181,84,54
116,68,156,199
198,51,83,66
93,32,19,51
92,134,149,129
95,38,157,89
138,31,45,6
199,59,12,198
96,80,25,0
53,24,10,142
24,20,82,109
110,70,122,141
138,152,127,112
179,106,164,65
47,71,196,86
48,3,134,113
52,63,16,119
30,31,11,57
8,81,39,93
119,122,149,103
84,185,111,96
142,171,187,136
65,25,35,97
0,186,129,8
164,11,1,190
128,187,117,99
146,189,29,51
132,122,129,121
168,137,95,133
104,59,9,54
112,125,177,121
199,76,73,25
102,171,187,172
132,99,107,91
144,53,40,1
36,113,170,44
140,6,71,184
76,77,82,51
125,35,129,0
84,51,54,117
194,126,39,188
179,149,68,27
159,104,165,40
183,3,129,120
101,115,15,114
110,129,9,30
81,124,26,195
180,63,94,43
24,63,153,42
55,134,127,77
35,141,47,78
90,172,150,117
6,97,139,79
92,122,104,32
112,196,191,79
45,177,5,194
26,142,172,49
28,61,75,174
58,18,131,189
128,161,189,127
0,72,36,124
20,147,150,76
43,74,173,125
57,135,192,62
160,19,86,175
9,19,4,74
179,165,172,81
85,50,26,166
56,52,177,14
146,121,56,95
19,178,16,21
192,83,153,178
180,24,10,101
39,36,13,44
145,18,54,92
5,82,67,140
131,1,68,7
0,121,81,193
199,100,187,94
10,97,34,17
41,87,194,152
138,156,31,129
148,139,125,78
109,19,14,69
75,122,47,139
164,79,29,53
66,52,164,159
137,91,156,122
78,51,83,36
100,147,63,91
24,7,21,42
171,176,81,58
116,73,7,191
55,73,57,172
156,158,34,108
86,197,54,7
137,166,101,82
47,115,62,198
9,4,122,25
147,85,179,174
19,107,95,136
0,150,5,59
47,178,63,28
62,145,17,168
54,75,24,122
116,196,128,88
14,64,82,68
128,170,150,96
59,137,49,117
177,31,85,56
59,193,137,177
84,164,160,70
160,2,33,58
46,117,0,118
82,161,35,89
173,151,66,22
97,84,93,132
193,108,39,195
16,44,64,105
111,72,64,161
5,136,18,17
149,18,82,197
126,64,141,54
107,35,135,63
88,163,129,65
134,80,128,148
17,32,167,33
15,124,176,119
62,131,49,68
91,31,107,191
115,140,137,59
129,174,3,102
76,22,42,12
124,53,115,125
122,196,150,173
141,178,163,64
159,115,171,155
166,20,92,171
195,168,176,140
83,78,23,119
128,26,130,184
10,177,90,44
167,128,195,116
42,141,16,140
106,108,123,159
98,94,142,196
49,80,13,23
186,99,154,42
97,88,35,117
68,28,192,23
91,65,115,43
72,178,110,81
84,120,27,168
101,71,135,95
165,44,60,13
138,4,39,21
160,0,20,169
47,80,168,40
170,8,133,110
74,119,39,114
48,51,119,129
69,184,142,172
61,136,183,27
45,129,26,100
66,13,198,176
128,106,87,48
136,92,156,119
51,189,153,123
54,184,119,36
133,137,196,62
106,64,174,146
68,104,148,161
47,197,82,118
104,187,38,8
189,41,142,114
139,189,130,142
184,128,190,42
108,119,142,25
69,3,89,4
68,122,178,124
21,51,136,109
148,199,24,5
0,69,59,12
195,43,189,14
30,16,53,163
69,153,112,13
193,63,124,102
36,147,170,128
13,37,78,114
1,156,159,139
59,48,99,141
50,20,160,55
102,74,80,32
156,22,174,95
173,193,194,73
167,66,150,121
33,5,78,98
171,43,102,101
109,117,169,13
16,181,101,174
103,146,185,191
19,69,25,192
38,107,12,199
75,98,108,171
59,33,75,134
194,182,9,3
63,124,99,129
59,151,87,79
38,172,121,85
150,9,174,86
140,19,177,132
6,113,191,109
2,95,132,168
96,126,137,160
24,26,76,1
46,129,35,100
161,85,156,113
120,132,194,58
166,78,139,6
197,194,46,118
31,65,64,123
71,24,82,148
187,133,161,153
50,116,155,39
167,78,119,46
150,11,48,190
160,42,113,87
69,134,97,197
83,164,161,87
1,92,192,9
187,196,199,122
63,146,79,51
110,160,161,118
131,105,161,122
126,13,64,164
92,43,193,177
161,25,21,96
140,80,149,6
39,135,32,50
94,117,88,15
29,79,176,113
163,41,193,140
17,107,33,139
45,114,92,178
108,47,180,129
142,88,123,144
43,18,14,49
120,28,109,141
164,0,5,106
99,104,171,88
46,7,108,55
107,12,146,197
30,173,130,162
161,27,124,187
10,123,54,118
21,59,103,31
116,155,34,20
13,144,64,195
57,126,165,66
32,182,69,166
176,160,177,66
36,150,89,125
101,7,78,92
22,31,13,142
182,25,181,23
173,19,136,190
156,48,61,80
39,21,163,192
182,158,67,4
148,155,5,89
27,120,154,176
149,129,66,89
81,5,115,102
111,91,66,124
30,159,148,89
93,73,91,13
120,110,65,135
25,30,123,187
181,162,114,157
97,56,15,2
139,15,134,171
168,82,163,79
20,199,39,100
156,23,113,99
22,176,6,2
32,100,142,1
97,69,38,102
141,194,87,84
196,121,5,52
80,74,109,128
177,175,61,147
95,39,169,172
87,66,54,149
118,183,193,56
148,70,46,35
168,36,109,173
147,118,19,192
197,37,184,106
63,153,125,49
64,124,32,94
122,21,163,71
34,88,83,4
199,139,93,13
108,102,177,170
130,146,187,116
72,71,149,157
194,73,185,188
38,162,23,159
194,141,95,39
183,120,136,7
6,72,175,35
9,155,51,77
164,67,88,17
176,99,67,88
196,10,167,152
195,48,149,132
24,115,37,60
97,199,22,103
119,146,156,67
159,194,26,48
122,118,89,192
70,93,86,74
88,114,196,27
178,103,146,68
63,135,67,165
71,164,147,153
76,58,20,147
149,192,106,156
8,65,92,64
199,179,180,125
43,179,51,176
199,174,17,90
162,161,9,57
27,171,92,75
121,84,167,26
7,50,25,54
183,181,30,159
192,83,116,18
149,135,148,52
114,109,130,79
149,78,67,27
161,55,64,195
133,192,164,52
27,134,175,2
156,40,199,65
29,41,174,43
145,82,101,6
70,49,60,35
116,171,194,139
77,20,188,35
170,0,76,172
187,48,37,111
57,167,152,49
57,184,172,161
174,62,196,11
172,5,66,75
163,54,111,189
61,120,40,81
147,132,152,70
176,72,109,33
121,29,80,21
21,33,16,59
81,152,7,156
164,103,120,186
110,108,23,97
156,177,54,149
102,59,84,41
76,61,26,118
29,17,168,160
7,68,124,131
130,113,79,81
49,62,139,145
30,70,7,76
148,44,113,64
94,28,176,187
121,46,172,102
140,128,19,169
79,60,186,103
90,100,20,142
195,199,82,128
136,56,0,46
175,9,19,173
196,85,154,116
89,59,0,68
176,139,4,199
44,139,1,196
32,61,87,181
171,187,153,40
182,124,33,18
72,41,22,0
156,148,64,199
71,60,196,24
150,167,68,156
16,52,130,79
28,196,73,66
13,90,107,164
45,136,57,26
32,149,38,137
77,47,123,156
43,46,13,36
52,51,96,35
41,105,115,65
103,181,185,66
78,142,101,92
16,41,117,111
163,110,84,33
41,15,114,115
140,39,191,65
11,5,115,39
133,29,7,84
167,192,19,56
63,54,132,148
118,21,16,93
91,114,66,129
106,176,118,122
195,124,130,22
53,130,143,167
10,161,100,187
107,162,92,122
22,110,36,131
68,180,170,146
68,49,63,8
178,52,88,186
135,148,11,91
96,117,177,92
90,154,83,55
54,64,98,106
193,134,137,183
143,42,31,197
67,197,11,100
156,157,120,5
20,10,84,4
63,82,131,143
184,108,3,72
79,88,25,16
69,108,123,114
128,139,54,154
193,108,16,171
176,29,170,28
177,163,131,145
61,198,32,29
25,145,69,107
24,163,131,147
119,106,173,110
133,196,188,170
92,1,45,62
30,122,68,56
59,0,129,73
71,41,111,196
134,58,197,136
129,132,75,155
171,88,55,166
141,0,158,126
63,195,144,167
89,54,134,76
159,75,165,181
145,16,179,169
31,148,149,137
154,62,127,79
111,166,117,60
29,110,147,154
16,156,70,43
154,46,23,94
187,124,44,37
107,50,155,140
20,36,19,169
17,167,55,92
122,1,43,69
179,78,54,10
73,51,54,55
59,166,38,48
142,159,195,194
180,2,173,156
124,170,119,136
186,178,93,15
32,109,105,77
16,74,134,23
153,62,188,180
59,37,82,158
185,134,88,62
193,136,69,29
63,1,91,115
74,189,20,85
171,1,73,136
16,167,31,185
89,22,30,115
159,1,80,122
54,19,75,109
93,198,45,182
30,60,1,41
152,160,85,86
175,33,82,105
119,199,87,30
57,100,191,175
191,162,155,47
167,91,110,1
118,158,17,25
163,116,73,149
41,112,197,2
66,8,194,46
92,104,78,46
121,96,37,191
4,175,89,15
28,59,110,19
7,144,110,75
147,162,13,163
7,30,133,52
69,59,86,1
30,120,95,177
99,57,123,120
96,62,34,27
120,164,87,104
49,93,33,36
92,111,159,109
3,70,180,23
140,160,120,32
185,197,7,80
164,175,28,157
194,31,175,181
142,16,78,61
17,95,42,60
170,115,69,87
79,2,104,105
50,107,184,38
126,191,66,0
170,106,84,181
17,112,107,127
134,179,70,36
40,141,136,178
122,163,154,158
176,193,149,173
182,193,167,161
156,164,49,133
24,178,63,195
112,58,117,79
16,53,76,196
68,60,23,33
141,176,124,84
82,43,104,65
46,92,119,186
161,1,53,195
47,95,82,102
135,38,47,138
187,118,38,23
84,70,38,197
157,182,79,92
62,186,13,161
50,84,78,124
124,169,177,72
103,36,56,61
169,37,116,168
156,150,128,99
40,90,111,46
30,136,199,75
128,176,20,81
10,184,70,155
171,13,29,144
54,58,23,168
138,70,135,44
191,195,196,162
8,166,74,180
105,162,58,63
36,79,40,194
75,130,108,83
38,199,119,179
65,113,123,43
13,163,151,42
18,170,148,138
2,104,116,108
89,151,41,148
83,99,60,20
9,45,140,58
102,67,172,73
164,78,117,111
24,92,140,101
30,199,171,181
2,164,20,165
43,115,121,76
130,161,33,21
33,86,164,63
90,48,147,61
193,52,111,167
89,83,109,66
9,17,192,33
10,154,94,181
23,4,195,77
190,59,117,101
28,77,26,35
56,107,113,176
66,156,21,20
109,153,167,193
84,72,129,75
199,158,63,162
11,62,148,76
9,20,131,76
77,186,57,139
192,184,155,35
98,166,139,28
70,188,7,56
108,98,50,144
26,46,83,120
9,40,116,185
153,91,113,103
115,110,163,60
60,122,199,133
164,40,20,128
36,168,123,141
167,4,3,57
181,185,118,192
144,69,40,42
124,22,161,31
105,45,110,139
123,32,49,9
186,198,105,91
122,149,34,27
183,160,8,40
29,90,186,17
42,64,144,198
89,77,46,102
78,83,170,80
163,7,194,95
0,161,135,80
56,39,23,155
39,155,163,150
188,151,53,42
197,52,77,115
170,68,199,138
156,62,162,96
87,156,120,83
24,178,199,161
140,86,197,22
114,147,165,15
40,80,121,182
126,192,56,53
115,99,56,156
197,80,6,157
66,61,184,134
152,146,34,173
188,51,172,128
127,75,30,84
60,89,61,174
191,190,95,142
194,90,164,113
53,112,20,133
43,0,185,128
54,180,15,20
66,185,52,18
101,182,186,173
70,2,90,142
71,34,119,35
22,102,37,80
147,132,193,40
41,28,146,182
120,107,177,2
50,156,149,84
42,116,153,140
167,100,105,93
97,149,55,85
89,190,62,7
179,145,36,147
44,43,180,120
174,188,136,43
128,163,27,126
39,103,95,188
199,122,0,118
5,154,123,52
131,85,156,93
155,132,21,28
93,182,46,43
150,111,52,113
164,31,196,177
8,157,92,195
35,72,84,161
127,28,82,165
0,125,169,38
93,126,154,176
99,172,184,163
143,156,157,111
35,34,178,189
163,186,113,72
183,56,98,103
196,71,160,94
36,169,116,18
88,81,109,92
71,164,196,188
128,164,124,86
52,44,11,146
50,63,88,171
39,34,58,57
146,110,54,159
43,25,7,138
34,135,94,24
92,107,40,49
152,134,16,154
119,189,96,103
158,43,97,69
143,162,11,153
97,162,143,42
92,36,196,21
31,156,199,99
106,32,60,187
2,8,143,110
57,159,155,40
94,102,140,197
108,42,52,59
151,7,140,148
111,143,189,199
9,175,3,75
120,18,139,159
38,165,6,80
119,10,22,80
182,178,66,21
46,61,157,141
57,28,59,71
43,53,66,72
32,91,11,94
134,90,152,158
0,58,101,120
1,18,137,63
101,191,132,33
101,83,2,171
47,60,98,67
94,184,42,95
19,42,35,54
33,82,124,134
163,133,92,3
33,173,139,14
155,164,91,166
53,143,61,57
11,116,111,17
107,71,97,116
187,175,199,89
128,140,64,144
175,122,46,20
134,48,44,147
89,36,21,100
182,171,2,16
189,99,8,41
182,35,136,147
66,196,182,189
179,50,19,145
65,8,162,134
90,15,89,178
182,82,50,2
56,105,142,124
186,83,92,198
67,107,122,64
10,121,2,191
13,65,154,146
112,151,143,113
177,53,29,126
125,105,1,44
171,28,95,190
79,114,117,74
129,3,10,20
78,16,193,177
79,110,170,105
23,35,56,97
41,58,35,25
33,104,36,17
90,98,102,133
120,127,198,190
189,113,198,76
5,1,71,158
64,159,41,93
110,145,118,150
98,23,66,158
81,175,22,109
4,23,190,145
175,167,81,10
138,184,82,130
44,15,87,42
40,11,82,68
116,111,44,103
197,171,76,37
173,175,179,144
5,180,37,55
47,66,30,82
161,103,104,177
188,120,170,40
192,49,30,126
3,14,45,100
127,67,101,60
24,195,26,29
99,120,96,115
73,140,101,120
13,159,39,29
143,78,7,83
35,12,21,74
188,69,111,85
147,91,171,16
70,107,56,115
124,149,30,113
75,135,55,84
86,19,83,42
162,23,66,113
190,119,54,186
19,138,14,20
77,24,9,69
188,31,25,185
135,174,151,194
30,143,68,48
56,104,190,43
70,124,44,18
78,85,64,182
189,26,30,45
11,115,46,147
150,109,6,26
67,87,22,43
177,51,97,178
116,191,128,141
100,186,63,17
4,192,175,45
90,134,180,94
175,187,4,161
40,170,45,164
171,67,133,198
123,18,92,108
125,70,131,156
33,124,45,177
129,186,100,172
42,58,14,26
42,6,13,108
37,115,20,101
18,0,143,33
112,183,51,21
88,63,65,129
113,115,137,102
112,78,82,27
194,26,21,108
174,101,194,109
36,57,55,190
28,48,135,184
191,171,154,7
37,162,120,183
186,88,120,85
128,65,146,183
199,198,165,2
1,170,14,154
68,167,162,170
62,193,95,101
174,110,142,10
193,122,92,55
195,112,136,77
177,55,136,175
